order_id,order_date,customer_id,category,product,unit_price,quantity,discount_pct,gross_amount,discount_amount,net_amount,region,sales_channel,payment_method,is_returned
ORD111955,2024-01-01,CUST00971,Home & Kitchen,LED Desk Lamp,21.69,1,0,21.69,0.0,21.69,West,Website,Cash on Delivery,False
ORD106340,2024-01-01,CUST01024,Sports,Resistance Bands,15.34,1,0,15.34,0.0,15.34,West,Marketplace,Cash on Delivery,False
ORD100063,2024-01-01,CUST02220,Home & Kitchen,Blender,41.06,1,0,41.06,0.0,41.06,South,Mobile App,Cash on Delivery,False
ORD112968,2024-01-01,CUST00391,Sports,Resistance Bands,15.59,3,0,46.77,0.0,46.77,Central,Website,Credit Card,False
ORD113652,2024-01-01,CUST02078,Home & Kitchen,Blender,42.5,1,5,42.5,2.12,40.38,South,Website,Net Banking,False
ORD111525,2024-01-01,CUST01596,Home & Kitchen,LED Desk Lamp,20.14,2,0,40.28,0.0,40.28,North,Website,Credit Card,False
ORD109609,2024-01-01,CUST01077,Sports,Running Shorts,15.59,1,0,15.59,0.0,15.59,North,Mobile App,Net Banking,False
ORD110055,2024-01-01,CUST02556,Home & Kitchen,Non-stick Pan,28.25,2,5,56.5,2.82,53.68,North,Mobile App,Debit Card,False
ORD109107,2024-01-01,CUST01796,Fashion,Running Shoes,71.52,1,5,71.52,3.58,67.94,East,Marketplace,Cash on Delivery,False
ORD104228,2024-01-01,CUST03405,Beauty,Hair Dryer,31.02,1,15,31.02,4.65,26.37,West,Website,Cash on Delivery,False
ORD107582,2024-01-01,CUST01430,Sports,Water Bottle,9.47,2,0,18.94,0.0,18.94,Central,Mobile App,Credit Card,False
ORD100442,2024-01-01,CUST02122,Sports,Resistance Bands,15.88,1,0,15.88,0.0,15.88,West,Mobile App,Net Banking,False
ORD100426,2024-01-01,CUST02062,Home & Kitchen,Storage Bins,18.57,1,0,18.57,0.0,18.57,Central,Website,Cash on Delivery,False
ORD101468,2024-01-01,CUST01059,Beauty,Lipstick,14.81,3,20,44.43,8.89,35.54,North,Website,Cash on Delivery,False
ORD104230,2024-01-01,CUST00647,Home & Kitchen,Storage Bins,17.12,1,0,17.12,0.0,17.12,East,Mobile App,Net Banking,False
ORD113717,2024-01-01,CUST00265,Fashion,Running Shoes,59.7,1,0,59.7,0.0,59.7,East,Website,Credit Card,False
ORD104581,2024-01-01,CUST02435,Fashion,Running Shoes,65.57,1,0,65.57,0.0,65.57,East,Mobile App,Credit Card,False
ORD109350,2024-01-01,CUST03015,Fashion,Cotton T-Shirt,12.09,1,0,12.09,0.0,12.09,North,Website,Net Banking,False
ORD101257,2024-01-01,CUST01032,Fashion,Running Shoes,62.79,1,0,62.79,0.0,62.79,East,Mobile App,Net Banking,False
ORD108515,2024-01-02,CUST03352,Electronics,Bluetooth Speaker,59.81,2,0,119.62,0.0,119.62,East,Website,Net Banking,False
ORD105019,2024-01-02,CUST01310,Fashion,Sunglasses,25.22,1,10,25.22,2.52,22.7,North,Marketplace,Net Banking,False
ORD101751,2024-01-02,CUST00462,Home & Kitchen,Blender,36.31,1,0,36.31,0.0,36.31,Central,Mobile App,Debit Card,False
ORD112113,2024-01-02,CUST00061,Electronics,Laptop Stand,30.82,3,0,92.46,0.0,92.46,Central,Marketplace,Credit Card,False
ORD106312,2024-01-02,CUST00347,Beauty,Shampoo,9.1,2,5,18.2,0.91,17.29,Central,Website,Net Banking,False
ORD103023,2024-01-02,CUST03143,Electronics,Bluetooth Speaker,55.12,1,0,55.12,0.0,55.12,Central,Website,Credit Card,False
ORD103626,2024-01-02,CUST01904,Fashion,Running Shoes,69.4,1,5,69.4,3.47,65.93,North,Mobile App,UPI,True
ORD111520,2024-01-02,CUST01253,Beauty,Shampoo,10.46,3,0,31.38,0.0,31.38,South,Website,Debit Card,False
ORD101921,2024-01-02,CUST00722,Beauty,Shampoo,11.09,1,0,11.09,0.0,11.09,North,Marketplace,Cash on Delivery,False
ORD106121,2024-01-02,CUST01597,Sports,Water Bottle,10.11,3,0,30.33,0.0,30.33,East,Website,UPI,False
ORD106014,2024-01-02,CUST02810,Beauty,Hair Dryer,31.47,2,0,62.94,0.0,62.94,Central,Marketplace,Credit Card,False
ORD100117,2024-01-02,CUST00090,Electronics,Wireless Earbuds,50.43,1,10,50.43,5.04,45.39,South,Website,Debit Card,False
ORD100929,2024-01-02,CUST02275,Electronics,Wireless Earbuds,49.39,1,0,49.39,0.0,49.39,West,Website,UPI,False
ORD111225,2024-01-02,CUST00695,Home & Kitchen,LED Desk Lamp,22.62,1,0,22.62,0.0,22.62,North,Mobile App,Credit Card,False
ORD103265,2024-01-02,CUST02005,Sports,Resistance Bands,13.83,1,15,13.83,2.07,11.76,Central,Website,Net Banking,False
ORD104325,2024-01-02,CUST00109,Home & Kitchen,Coffee Maker,50.04,1,0,50.04,0.0,50.04,West,Website,Net Banking,False
ORD103446,2024-01-02,CUST00151,Beauty,Lipstick,15.86,2,0,31.72,0.0,31.72,North,Mobile App,Cash on Delivery,False
ORD104793,2024-01-02,CUST00291,Sports,Water Bottle,8.29,2,0,16.58,0.0,16.58,West,Website,UPI,False
ORD102573,2024-01-02,CUST02455,Electronics,USB-C Cable,8.49,1,0,8.49,0.0,8.49,Central,Website,Debit Card,False
ORD105993,2024-01-02,CUST02213,Home & Kitchen,LED Desk Lamp,20.74,2,15,41.48,6.22,35.26,East,Mobile App,Net Banking,False
ORD102947,2024-01-03,CUST03156,Fashion,Sunglasses,25.17,1,0,25.17,0.0,25.17,East,Mobile App,Net Banking,False
ORD101141,2024-01-03,CUST01155,Beauty,Sunscreen SPF50,14.91,1,0,14.91,0.0,14.91,West,Marketplace,Net Banking,False
ORD102639,2024-01-03,CUST01172,Beauty,Lipstick,14.06,1,5,14.06,0.7,13.36,Central,Mobile App,UPI,False
ORD105403,2024-01-03,CUST02881,Beauty,Lipstick,13.26,1,5,13.26,0.66,12.6,South,Website,Net Banking,False
ORD105193,2024-01-03,CUST02575,Electronics,Laptop Stand,31.73,1,0,31.73,0.0,31.73,North,Website,Net Banking,False
ORD100506,2024-01-03,CUST02171,Sports,Resistance Bands,15.95,1,0,15.95,0.0,15.95,South,Website,UPI,False
ORD103548,2024-01-03,CUST02578,Fashion,Cotton T-Shirt,11.28,2,0,22.56,0.0,22.56,East,Mobile App,UPI,False
ORD104698,2024-01-03,CUST01034,Fashion,Denim Jacket,48.36,1,5,48.36,2.42,45.94,West,Website,UPI,False
ORD105026,2024-01-03,CUST01026,Electronics,Bluetooth Speaker,65.64,1,0,65.64,0.0,65.64,East,Marketplace,Cash on Delivery,False
ORD103389,2024-01-03,CUST01541,Sports,Yoga Mat,20.7,1,0,20.7,0.0,20.7,Central,Mobile App,Cash on Delivery,False
ORD110774,2024-01-03,CUST00851,Home & Kitchen,Coffee Maker,50.07,1,20,50.07,10.01,40.06,South,Marketplace,Cash on Delivery,False
ORD113662,2024-01-03,CUST00694,Home & Kitchen,LED Desk Lamp,21.19,1,0,21.19,0.0,21.19,South,Mobile App,Credit Card,False
ORD113530,2024-01-03,CUST03237,Home & Kitchen,Storage Bins,17.06,1,0,17.06,0.0,17.06,South,Website,Net Banking,False
ORD101919,2024-01-03,CUST00206,Fashion,Sunglasses,24.59,1,10,24.59,2.46,22.13,West,Website,Credit Card,False
ORD103743,2024-01-03,CUST01452,Sports,Resistance Bands,14.65,1,0,14.65,0.0,14.65,South,Mobile App,UPI,False
ORD109056,2024-01-03,CUST03268,Fashion,Sunglasses,21.06,1,10,21.06,2.11,18.95,Central,Marketplace,Net Banking,False
ORD110057,2024-01-04,CUST00936,Beauty,Hair Dryer,30.51,1,0,30.51,0.0,30.51,East,Marketplace,Cash on Delivery,False
ORD106532,2024-01-04,CUST02553,Beauty,Shampoo,11.06,1,0,11.06,0.0,11.06,West,Website,UPI,False
ORD105550,2024-01-04,CUST00053,Sports,Resistance Bands,14.54,1,0,14.54,0.0,14.54,Central,Website,Credit Card,False
ORD108256,2024-01-04,CUST00362,Sports,Water Bottle,10.11,1,10,10.11,1.01,9.1,North,Website,Credit Card,False
ORD109412,2024-01-04,CUST01799,Home & Kitchen,LED Desk Lamp,22.29,1,10,22.29,2.23,20.06,South,Website,Net Banking,False
ORD112151,2024-01-04,CUST00857,Home & Kitchen,Storage Bins,17.18,2,15,34.36,5.15,29.21,East,Mobile App,Net Banking,False
ORD108785,2024-01-04,CUST00410,Beauty,Shampoo,10.94,1,15,10.94,1.64,9.3,East,Website,Debit Card,False
ORD108640,2024-01-04,CUST00406,Fashion,Sunglasses,22.0,1,0,22.0,0.0,22.0,East,Mobile App,Debit Card,False
ORD103477,2024-01-04,CUST00231,Fashion,Running Shoes,69.74,2,15,139.48,20.92,118.56,East,Website,UPI,False
ORD111508,2024-01-04,CUST00728,Sports,Resistance Bands,17.24,3,0,51.72,0.0,51.72,East,Website,UPI,False
ORD101508,2024-01-04,CUST03252,Fashion,Cotton T-Shirt,13.51,1,0,13.51,0.0,13.51,North,Mobile App,Credit Card,False
ORD113655,2024-01-04,CUST02984,Fashion,Sunglasses,24.71,2,0,49.42,0.0,49.42,East,Website,Credit Card,False
